1000,10000,10000
54,45,581
45,38,41
19,17,51
23,43,235
2,18,433
18,61,77
54,17,68
72,46,715
61,34,684
61,28,639
19,94,644
33,27,916
18,9,290
38,66,751
12,40,895
81,19,452
2,61,154
83,51,158
20,78,160
35,76,871
58,11,574
30,49,382
27,41,433
76,85,982
94,55,233
15,77,724
28,86,40
3,28,295
84,77,658
43,37,495
83,87,512
40,79,213
54,64,560
15,47,929
48,11,229
87,82,72
57,21,778
17,63,990
37,4,701
90,33,77
3,41,553
10,36,132
78,98,154
69,64,697
9,46,191
68,81,315
73,68,801
47,72,283
3,32,224
54,65,312
81,73,612
88,95,40
90,99,907
47,61,13
19,20,740
55,83,844
91,43,849
38,35,264
84,95,153
16,2,875
64,21,461
5,35,533
27,94,284
3,92,804
10,3,952
50,34,56
11,87,565
22,53,64
50,12,841
90,78,238
75,9,359
95,89,564
66,93,19
27,78,201
12,48,552
28,49,678
34,59,687
21,43,760
76,39,620
14,28,273
3,20,329
82,93,869
13,82,208
4,67,939
86,78,933
34,65,729
63,81,67
23,51,427
80,91,253
82,13,682
97,40,959
13,65,318
90,72,352
23,74,847
91,91,326
6,72,111
83,8,540
34,99,166
93,16,300
67,76,128
42,38,98
73,48,829
37,50,797
6,55,918
97,92,153
87,72,357
57,83,488
70,28,350
48,40,817
51,97,364
8,71,738
25,18,800
11,75,94
29,26,769
90,86,69
85,23,143
35,14,324
41,41,981
15,51,291
78,16,575
88,28,998
79,17,419
36,76,85
93,86,339
55,63,951
50,72,675
75,37,273
73,26,76
49,99,934
64,37,348
55,20,491
94,76,692
13,72,702
21,15,956
67,21,564
49,84,324
35,96,356
10,61,561
51,56,240
73,6,644
4,64,686
60,54,788
36,12,873
61,12,217
1,93,136
36,52,64
24,41,423
31,98,705
79,88,535
43,76,48
97,77,637
88,60,814
21,67,749
64,38,577
21,24,901
59,38,743
94,35,172
61,71,192
21,48,723
85,14,974
66,73,677
60,34,472
25,61,455
20,65,525
35,12,528
36,75,723
47,58,356
55,81,456
64,49,736
66,85,648
88,61,166
49,59,469
8,28,259
68,55,245
31,74,452
12,40,775
32,4,692
58,70,431
27,36,201
54,60,294
21,7,910
21,39,198
78,54,873
14,63,918
57,19,550
37,40,269
90,73,596
29,70,918
10,91,967
21,58,641
90,57,7
64,14,651
22,31,213
42,66,538
61,60,13
5,32,762
83,45,208
73,77,817
53,29,638
46,19,807
28,65,240
38,26,814
99,71,656
61,94,909
91,1,985
30,98,403
87,20,409
73,78,85
61,10,349
80,83,698
13,69,67
82,19,645
64,65,52
54,94,635
69,62,9
45,8,345
38,18,163
92,62,588
47,10,400
95,23,902
21,80,241
7,24,266
63,68,573
93,51,539
96,22,574
67,91,95
28,44,160
21,12,173
81,96,350
99,42,211
12,97,298
4,65,462
41,4,520
39,93,127
77,84,583
55,12,521
48,13,60
66,67,568
64,20,894
56,19,373
74,76,397
87,14,304
33,8,705
35,11,268
51,78,228
39,37,844
41,55,53
47,28,366
30,48,779
87,89,675
81,42,398
12,91,9
15,63,183
96,59,509
49,30,623
49,85,723
75,56,944
11,96,233
44,40,135
2,32,333
85,16,729
57,26,708
75,33,351
78,45,882
39,29,419
17,96,62
29,78,813
30,96,686
51,59,273
44,75,57
90,63,981
37,74,952
15,99,551
16,56,120
78,76,27
18,98,815
98,81,360
97,41,715
68,93,662
21,76,817
46,40,806
87,28,53
6,16,339
36,87,679
66,84,756
48,63,911
13,7,522
24,16,360
89,53,144
74,17,521
44,20,553
37,18,904
4,53,860
87,9,736
56,64,77
2,59,91
90,94,681
85,4,635
42,20,199
12,43,641
47,75,360
56,28,473
78,7,370
41,24,318
31,16,64
15,34,148
86,52,799
66,49,346
87,73,914
30,75,234
65,79,533
53,19,310
73,71,880
68,44,294
41,76,425
18,4,359
48,90,902
44,24,99
58,99,975
48,23,426
58,40,317
92,23,608
32,18,496
81,8,237
9,78,859
26,96,751
71,26,989
60,76,483
71,10,309
57,56,941
19,55,952
63,91,159
58,43,832
3,4,11
8,24,462
3,20,160
30,4,595
90,88,11
11,77,138
43,57,547
35,7,603
93,43,970
44,45,109
83,1,90
42,54,310
86,28,49
45,18,642
80,80,167
61,54,605
32,97,405
67,7,655
81,18,561
32,44,877
10,9,616
29,45,945
59,8,718
31,7,964
66,33,863
85,57,945
13,70,230
72,7,408
46,41,146
49,33,814
22,73,740
44,29,524
33,9,67
91,42,14
90,99,42
58,94,814
65,71,331
47,30,952
91,80,264
25,57,42
55,5,756
91,60,138
91,93,577
79,86,854
44,1,524
10,82,912
91,98,615
93,79,498
27,6,904
3,79,725
65,35,589
73,57,982
16,31,519
93,75,116
65,34,794
75,90,887
17,1,172
97,86,53
88,95,307
20,5,70
11,55,457
72,60,827
92,89,577
87,73,605
43,71,323
76,38,622
46,52,659
97,77,444
92,91,704
